feature,importance
V14,0.06750527585167324
V4,0.013736810370817022
V12,0.005052758516732037
V1,0.003608180082403811
V26,0.003092654004622675
V8,0.002988141895286944
V3,0.0028203195658728086
V11,0.0023947341975681046
V18,0.0015420560747663736
V2,0.0012375640639132103
V15,0.000540649180986863
V25,0.0005019596020500505
V22,0.0004803537332931596
V28,0.0004547281680233328
V7,0.000393930258265518
V10,0.0003296151140589232
V16,0.0002627876595317602
V6,0.0002602753492111476
V24,0.0002034971359662574
V21,0.00017334941211940568
V13,0.00015827555019597427
V9,0.0001462164606572558
V5,0.00012712290222091082
V23,9.546779218170265e-05
V17,9.396040598936839e-05
V20,6.130037182194847e-05
V19,5.275851673200993e-05
V27,4.321173751382634e-05
Amount,0.0
